file,genre,language,cluster_vae,cluster_pca
/content/english/Rock/65 Songs - A Journey Through Rock 'N' Roll ｜ Ten Second Songs.wav,Rock,English,3,7
/content/english/Rock/30 Seconds To Mars - Capricorn (A Brand New Name) (Official Music Video).wav,Rock,English,6,6
/content/english/Rock/Thirty Seconds to Mars - This is War (Official Lyric Video).wav,Rock,English,0,5
/content/english/Rock/Thirty Seconds To Mars - Up In The Air.wav,Rock,English,2,7
/content/english/Rock/Can You Guess the ROCK SONG in Just 5 Seconds？ 🤘 ｜ Music Quiz.wav,Rock,English,6,7
/content/english/Rock/Thirty Seconds To Mars - From Yesterday (Video Version).wav,Rock,English,2,3
/content/english/Rock/T h i r t y S e c o n d s t o M a r s Greatest Rock Songs ~ Top 100 Classic Rock Songs 70s 80s 90s.wav,Rock,English,7,6
/content/english/Rock/Guess the 80s Rock Song Quiz ｜ 80s Rock Songs Hit Classics Quiz ｜ Rock Hits.wav,Rock,English,2,7
/content/english/Rock/38 Special - Second Chance (Official Music Video).wav,Rock,English,6,2
"/content/english/Rock/Guess the ROCK SONG by its Iconic Intro, Most Popular Rock Songs! ｜ Music Quiz.wav",Rock,English,1,2
/content/english/Rock/30 Seconds To Mars ＂The Kill＂ (Acoustic Cover).wav,Rock,English,3,0
/content/english/Rock/Thirty Seconds To Mars - Closer To The Edge.wav,Rock,English,3,0
/content/english/Rock/Thirty Seconds To Mars - City Of Angels (Lyric Video).wav,Rock,English,5,1
/content/english/Rock/Guess the Iconic Rock Song by 1 Second ｜ Music Quiz.wav,Rock,English,2,7
/content/english/Rock/Guess the Song 2000s Rock Songs 🎶 Rock Songs Music Quiz.wav,Rock,English,2,7
/content/english/Rock/Thirty Seconds To Mars - Kings and Queens.wav,Rock,English,2,6
/content/english/Rock/BON JOVI ⭐ ALL HITS IN 1 MINUTE 30 SECONDS.wav,Rock,English,1,2
/content/english/Rock/Thirty Seconds To Mars - The Kill (Bury Me).wav,Rock,English,7,6
/content/english/Rock/Thirty Seconds To Mars - This Is War.wav,Rock,English,0,6
/content/english/Rock/Music Quiz： Guess the Classic Rock Hits 🎸 50 Songs Challenge!.wav,Rock,English,2,7
/content/english/Pop/Pop Music 2025 - Top Pop Songs 2025 - Billboard Top 100 🎧🔥 Justin Bieber Billie Eilish Miley Cyrus.wav,Pop,English,1,2
/content/english/Pop/Top Hits 2026 🎙️ Top Songs Hot Hit Music Pop Playlist ✨ Pure Tracks.wav,Pop,English,4,4
/content/english/Pop/Top Songs Cover 2026 🎙️ Hot Hit Music Pop Playlist ✨Pure Tracks.wav,Pop,English,1,3
/content/english/Pop/Top Hits 2026 🎙️ Top 100 English Hits 2025–2026 🔥 Viral TikTok Songs & Spotify Trending Playlist.wav,Pop,English,1,0
/content/english/Pop/Best Cover Songs 2026 🎙️ Top Songs Hot Hit Music Pop Playlist ✨ Pure Tracks.wav,Pop,English,4,4
/content/english/Pop/Top Hits 2026 ~ Trending Songs 2026 ~ Top Songs 2026 Top Music 🎶🎧.wav,Pop,English,1,2
/content/english/Pop/Trending Spotify Playlist 2026 ｜｜ Top Hits English 2025–2026🧡 Best Pop Songs 2026 & TikTok Hits Mix.wav,Pop,English,1,0
/content/english/Pop/Top Songs Cover HotHit Pop Playlist 🎙✨ 2026 ｜ Velu Music Vol.4.wav,Pop,English,1,0
/content/english/Pop/Top Hits 2026 ~ Trending Music 2026 🎶 Spotify Hits 2026 ~ Top Songs 2026 🎧.wav,Pop,English,4,0
/content/english/Pop/English Cover Songs 🎙️ Best Songs 2026 & Hot Hit Pop Music ｜ Pure Tracks.wav,Pop,English,4,0
/content/english/Jazz/Sleep Jazz - Soothing Jazz Music - Instrumental Background Jazz Music.wav,Jazz,English,7,4
/content/english/Jazz/Relaxing Smooth Jazz Music Fireplace ~ Night Jazz Ambience.wav,Jazz,English,7,3
/content/english/Jazz/New York Jazz Lounge - Bar Jazz Classics.wav,Jazz,English,7,3
