Dataset,Features,Algorithm,Silhouette,Davies-Bouldin,Calinski-H,ARI,NMI,Purity
GTZAN,MLP-VAE,KMeans,0.3384999930858612,1.0164,104.30000305175781,0.3785,0.5895,0.59
GTZAN,MLP-VAE,Agglomerative_Ward,0.3052999973297119,1.0716,98.0999984741211,0.3404,0.5727,0.57
GTZAN,MLP-VAE,Agglomerative_Complete,0.3084000051021576,1.0057,82.19999694824219,0.2808,0.5254,0.475
GTZAN,MLP-VAE,DBSCAN,0.4000000059604645,0.7797,110.80000305175781,0.4135,0.6196,0.574
GTZAN,Conv2D-VAE,KMeans,0.094200000166893,1.7697,17.100000381469727,0.1319,0.3195,0.335
GTZAN,Conv2D-VAE,Agglomerative_Ward,0.05900000035762787,1.7667,15.800000190734863,0.1479,0.3438,0.37
GTZAN,Conv2D-VAE,Agglomerative_Complete,0.14239999651908875,1.1762,13.100000381469727,0.0892,0.2507,0.24
GTZAN,Conv2D-VAE,DBSCAN,,,,,,
GTZAN,Hybrid-Conv-VAE,KMeans,0.07020000368356705,1.7932,19.799999237060547,0.1529,0.3173,0.37
GTZAN,Hybrid-Conv-VAE,Agglomerative_Ward,0.057999998331069946,1.7292,19.200000762939453,0.0883,0.2616,0.29
GTZAN,Hybrid-Conv-VAE,Agglomerative_Complete,0.10779999941587448,1.4028,16.0,0.0353,0.1899,0.24
GTZAN,Hybrid-Conv-VAE,DBSCAN,,,,,,
GTZAN,Hybrid-MLP-VAE,KMeans,0.2084999978542328,1.3117,49.20000076293945,0.1835,0.3742,0.38
GTZAN,Hybrid-MLP-VAE,Agglomerative_Ward,0.1995999962091446,1.4467,46.099998474121094,0.2063,0.3874,0.405
GTZAN,Hybrid-MLP-VAE,Agglomerative_Complete,0.1648000031709671,1.476,41.29999923706055,0.1639,0.363,0.395
GTZAN,Hybrid-MLP-VAE,DBSCAN,0.36719998717308044,0.934,80.19999694824219,0.1508,0.3474,0.3401
GTZAN,Beta-VAE,KMeans,0.40380001068115234,0.7267,753.5,0.1617,0.3759,0.425
GTZAN,Beta-VAE,Agglomerative_Ward,0.39160001277923584,0.699,718.5999755859375,0.1611,0.3876,0.405
GTZAN,Beta-VAE,Agglomerative_Complete,0.3887999951839447,0.6317,607.7000122070312,0.1594,0.374,0.42
GTZAN,Beta-VAE,DBSCAN,0.8687999844551086,0.1884,3300.800048828125,0.1573,0.3246,0.2759
GTZAN,CVAE,KMeans,0.28700000047683716,1.0783,85.19999694824219,0.2997,0.5264,0.52
GTZAN,CVAE,Agglomerative_Ward,0.313400000333786,1.0107,83.69999694824219,0.3587,0.5524,0.555
GTZAN,CVAE,Agglomerative_Complete,0.23909999430179596,1.0888,66.30000305175781,0.2982,0.5249,0.495
GTZAN,CVAE,DBSCAN,0.4027000069618225,0.7341,90.4000015258789,0.4122,0.6235,0.6056
GTZAN,Conv1D-VAE,KMeans,0.21709999442100525,1.5437,30.299999237060547,0.3252,0.5422,0.51
GTZAN,Conv1D-VAE,Agglomerative_Ward,0.19419999420642853,1.5659,29.5,0.3383,0.5671,0.515
GTZAN,Conv1D-VAE,Agglomerative_Complete,0.19679999351501465,1.667,26.600000381469727,0.3181,0.5298,0.505
GTZAN,Conv1D-VAE,DBSCAN,0.015200000256299973,1.4983,11.5,0.1096,0.3941,0.3333
GTZAN,Autoencoder,KMeans,0.227400004863739,1.2776,52.79999923706055,0.3125,0.5631,0.505
GTZAN,Autoencoder,Agglomerative_Ward,0.2434999942779541,1.1747,48.5,0.3422,0.5638,0.525
GTZAN,Autoencoder,Agglomerative_Complete,0.23019999265670776,1.216,42.70000076293945,0.3631,0.6029,0.555
