Dataset,Features,Algorithm,Silhouette,Davies-Bouldin,Calinski-H,ARI,NMI
GTZAN,MLP-VAE,KMeans,0.2494,1.1581,57.1,0.1902,0.4057
GTZAN,MLP-VAE,Agglomerative,0.2366,1.1266,52.2,0.2245,0.4523
GTZAN,MLP-VAE,DBSCAN,-0.068,1.1838,6.7,0.0414,0.2496
GTZAN,Conv2D-VAE,KMeans,0.0319,2.9168,5.8,0.112,0.2968
GTZAN,Conv2D-VAE,Agglomerative,0.0161,2.7722,5.3,0.0909,0.2604
GTZAN,Conv2D-VAE,DBSCAN,-0.0015,2.3392,2.4,0.0073,0.0697
GTZAN,Hybrid-Conv-VAE,KMeans,0.0586,2.4891,9.1,0.0045,0.0992
GTZAN,Hybrid-Conv-VAE,Agglomerative,0.0495,2.4156,8.2,-0.0014,0.096
GTZAN,Hybrid-Conv-VAE,DBSCAN,-0.0041,2.2358,2.1,0.0002,0.0457
GTZAN,Hybrid-MLP-VAE,KMeans,0.2022,0.7446,319.4,0.0107,0.1166
GTZAN,Hybrid-MLP-VAE,Agglomerative,0.1767,0.7795,311.0,0.0195,0.1283
GTZAN,Hybrid-MLP-VAE,DBSCAN,0.3252,0.805,61.5,0.0156,0.1232
GTZAN,PCA,KMeans,0.0897,2.3643,13.1,0.2282,0.4344
GTZAN,PCA,Agglomerative,0.092,2.3912,12.7,0.2564,0.464
GTZAN,PCA,DBSCAN,0.0176,2.1154,2.4,0.0026,0.0361
BanglaGITI,MLP-VAE,KMeans,0.3486,1.0551,33.1,0.0149,0.0765
BanglaGITI,MLP-VAE,Agglomerative,0.496,0.7691,33.1,-0.0058,0.0781
BanglaGITI,MLP-VAE,DBSCAN,0.4417,0.6989,34.2,0.0067,0.0875
BanglaGITI,Conv2D-VAE,KMeans,0.1495,2.1735,6.6,0.0052,0.0696
BanglaGITI,Conv2D-VAE,Agglomerative,0.1686,2.2056,6.3,-0.0055,0.0663
BanglaGITI,Conv2D-VAE,DBSCAN,0.1347,1.5298,4.0,0.0055,0.1411
BanglaGITI,Hybrid-Conv-VAE,KMeans,0.119,2.3542,7.9,-0.0078,0.0396
BanglaGITI,Hybrid-Conv-VAE,Agglomerative,0.0873,2.6065,6.8,0.0021,0.0581
BanglaGITI,Hybrid-Conv-VAE,DBSCAN,0.1771,1.5702,9.4,-0.0051,0.0869
BanglaGITI,Hybrid-MLP-VAE,KMeans,0.1729,1.2481,604.8,0.0165,0.0686
BanglaGITI,Hybrid-MLP-VAE,Agglomerative,0.1613,1.3235,593.0,0.0134,0.066
BanglaGITI,Hybrid-MLP-VAE,DBSCAN,0.5136,0.4199,19.0,-0.0054,0.0392
BanglaGITI,PCA,KMeans,0.1862,1.86,9.9,0.0055,0.0728
BanglaGITI,PCA,Agglomerative,0.3111,1.3102,9.9,-0.0028,0.0873
BanglaGITI,PCA,DBSCAN,0.143,1.0163,4.1,0.0031,0.067
BMGCD,MLP-VAE,KMeans,0.4098,0.8352,33.8,-0.0087,0.0596
BMGCD,MLP-VAE,Agglomerative,0.4027,0.8757,31.9,-0.0108,0.0581
BMGCD,MLP-VAE,DBSCAN,0.5362,0.6508,65.4,0.0072,0.0939
BMGCD,Conv2D-VAE,KMeans,0.1785,1.9019,5.4,-0.0104,0.0608
BMGCD,Conv2D-VAE,Agglomerative,0.1608,2.3599,6.0,-0.0073,0.0522
BMGCD,Conv2D-VAE,DBSCAN,0.1519,1.3813,4.3,-0.0085,0.0649
BMGCD,Hybrid-Conv-VAE,KMeans,0.1433,2.4459,9.3,0.0132,0.0809
BMGCD,Hybrid-Conv-VAE,Agglomerative,0.1436,2.2895,9.0,0.0188,0.0859
BMGCD,Hybrid-Conv-VAE,DBSCAN,0.171,1.402,5.7,-0.0021,0.1268
BMGCD,Hybrid-MLP-VAE,KMeans,0.2676,1.4324,604.1,-0.0034,0.0521
BMGCD,Hybrid-MLP-VAE,Agglomerative,0.2604,1.5575,591.5,-0.0078,0.05
BMGCD,Hybrid-MLP-VAE,DBSCAN,0.3237,1.3067,18.8,-0.0162,0.05
BMGCD,PCA,KMeans,0.212,2.051,9.4,-0.013,0.0551
BMGCD,PCA,Agglomerative,0.2189,1.6862,10.5,-0.0038,0.0645
BMGCD,PCA,DBSCAN,0.115,1.6446,2.7,0.0011,0.0404
