Dataset,Model,Algorithm,Silhouette,Davies-Bouldin,Calinski-H,NMI,ARI,Purity
FMA,MLP-VAE,KMeans,0.0864,1.8432,509.5,0.1198,0.0548,0.3962
FMA,MLP-VAE,Agglomerative,0.0069,2.3316,329.8,0.0928,0.0287,0.3746
FMA,MLP-VAE,DBSCAN,,,,,,
FMA,Beta-VAE,KMeans,0.2151,1.0816,2121.5,0.1457,0.0694,0.4311
FMA,Beta-VAE,Agglomerative,0.1443,1.2124,1688.0,0.1416,0.0957,0.4156
FMA,Beta-VAE,DBSCAN,,,,,,
FMA,CVAE,KMeans,0.0799,1.7962,528.8,0.1314,0.0618,0.4103
FMA,CVAE,Agglomerative,0.0201,2.205,368.2,0.1145,0.068,0.3978
FMA,CVAE,DBSCAN,,,,,,
FMA,Conv-VAE,KMeans,0.0328,2.4699,254.1,0.1257,0.0662,0.4042
FMA,Conv-VAE,Agglomerative,0.0013,3.1599,161.4,0.1201,0.0678,0.3863
FMA,Conv-VAE,DBSCAN,,,,,,
FMA,AE,KMeans,0.0221,2.1392,384.0,0.145,0.1112,0.4136
FMA,AE,Agglomerative,-0.0188,2.6676,267.6,0.1242,0.076,0.4096
FMA,AE,DBSCAN,,,,,,
FMA,Multimodal,KMeans,0.2121,1.2891,932.9,0.8361,0.5932,0.9573
FMA,Multimodal,Agglomerative,0.233,1.0323,900.3,0.9436,0.8868,0.9742
FMA,Multimodal,DBSCAN,0.323,1.0109,967.2,0.9725,0.9703,0.9998
FMA,PCA,KMeans,0.0368,2.4745,381.0,0.1435,0.0698,0.4232
FMA,PCA,Agglomerative,0.0058,2.9171,285.8,0.141,0.0906,0.4181
FMA,PCA,DBSCAN,,,,,,
FMA,Spectral,KMeans,0.0307,2.5816,339.2,0.1451,0.0771,0.4156
FMA,Spectral,Agglomerative,0.0003,3.2195,253.4,0.1403,0.0924,0.4007
FMA,Spectral,DBSCAN,,,,,,
LMD,MLP-VAE,KMeans,0.936,1.1243,1037.4,0.5054,0.637,0.9276
LMD,MLP-VAE,Agglomerative,0.9344,1.2916,959.3,0.5019,0.6372,0.928
LMD,MLP-VAE,DBSCAN,,,,,,
LMD,Beta-VAE,KMeans,0.9516,0.8392,9006.6,0.4952,0.637,0.9247
LMD,Beta-VAE,Agglomerative,0.9515,0.8157,8932.8,0.4986,0.637,0.9257
LMD,Beta-VAE,DBSCAN,0.6899,0.3434,818.0,0.0008,-0.0021,0.9527
LMD,CVAE,KMeans,0.9219,1.1519,541.4,0.4154,0.5642,0.9241
LMD,CVAE,Agglomerative,0.9191,1.1567,506.9,0.474,0.6133,0.928
LMD,CVAE,DBSCAN,,,,,,
LMD,Conv-VAE,KMeans,0.9138,1.851,291.1,0.5049,0.6369,0.9264
LMD,Conv-VAE,Agglomerative,0.9134,2.0311,287.5,0.5008,0.6369,0.9264
LMD,Conv-VAE,DBSCAN,,,,,,
LMD,AE,KMeans,0.8929,1.5224,279.0,0.4949,0.6237,0.9296
LMD,AE,Agglomerative,0.8944,1.6995,261.3,0.5025,0.6371,0.9273
LMD,AE,DBSCAN,0.3694,1.0677,78.9,0.0043,-0.0111,0.9544
