Dataset,Model,Type,Sil,NMI,ARI,Purity
FMA,MLP-VAE,Original,0.08639678359031677,0.11980218576811613,0.054769916907366156,0.39615384615384613
FMA,Beta-VAE,Original,0.2151399403810501,0.1456799403082008,0.06942010608116976,0.43106508875739646
FMA,CVAE,Original,0.07985898107290268,0.13143135005980144,0.06176424225824678,0.41025641025641024
FMA,Conv-VAE,Original,0.03284132853150368,0.12570304025960935,0.06622174162511799,0.40424063116370806
FMA,AE,Original,0.022091064602136612,0.1450157858525807,0.11122450635823543,0.4136094674556213
FMA,Multimodal,Original,0.21214525401592255,0.8360999176142726,0.5931576637065278,0.9572978303747535
FMA,PCA,Original,0.03676518425345421,0.14345437679900633,0.06982927253684329,0.4231755424063116
FMA,Spectral,Original,0.03069000504910946,0.14511052683824435,0.077051536303818,0.4155818540433925
LMD,MLP-VAE,Original,0.9360488057136536,0.5053555425072307,0.6369624241430024,0.9276485788113695
LMD,Beta-VAE,Original,0.9515784382820129,0.4952203459246231,0.6370211374770637,0.9247416020671835
LMD,CVAE,Original,0.9218754172325134,0.4154384018565223,0.564178847155465,0.9240956072351422
LMD,Conv-VAE,Original,0.9138085842132568,0.504852360248945,0.6369117192390809,0.9263565891472868
LMD,AE,Original,0.8929355144500732,0.4948824710486944,0.6237179831504438,0.9295865633074936
LMD,Multimodal,Original,0.4085213840007782,0.5009244595339245,0.18616765036238306,0.9896640826873385
LMD,PCA,Original,0.9044890999794006,0.5064387190281937,0.6371252725732339,0.9282945736434108
LMD,Spectral,Original,0.9044890999794006,0.5064387190281937,0.6371252725732339,0.9282945736434108
GTZAN,MLP-VAE,Original,0.5190869569778442,0.8947521786149248,0.8674805603741801,0.8280701754385965
GTZAN,Beta-VAE,Original,0.6279605627059937,0.900614487982152,0.8711829264430697,0.8350877192982457
GTZAN,CVAE,Original,0.3974771499633789,0.7481989118551767,0.5971447551186807,0.6333333333333333
GTZAN,Conv-VAE,Original,0.06876616925001144,0.33469041723646453,0.12409955872717009,0.28771929824561404
GTZAN,AE,Original,0.09548533707857132,0.4732105685996622,0.22498150311079193,0.3719298245614035
GTZAN,Multimodal,Original,0.8785259127616882,1.0,1.0,1.0
GTZAN,PCA,Original,0.06188919395208359,0.5960590190954775,0.34034026032535886,0.512280701754386
GTZAN,Spectral,Original,0.06587952375411987,0.6061856718929929,0.38163813052164297,0.5157894736842106
FMA,GMVAE,Extension-1,0.16985395550727844,0.13432627599815136,0.13283014855363232,0.4025641025641026
LMD,GMVAE,Extension-1,0.9485855102539062,0.5478037784383146,0.6303601304305371,0.9198966408268734
GTZAN,GMVAE,Extension-1,0.7151208519935608,0.5494426909943501,0.22919759860674846,0.20175438596491227
FMA,ContrastiveVAE,Extension-A,0.1333474963903427,0.13340296219273787,0.0716457893403435,0.4011834319526627
LMD,ContrastiveVAE,Extension-A,0.9463589191436768,0.5112054285438489,0.6370643718757862,0.9289405684754521
GTZAN,ContrastiveVAE,Extension-A,0.6591682434082031,0.8974625520639016,0.8691353217520398,0.8315789473684211
FMA,DANN-VAE,Extension-B,0.2344730943441391,0.079807091789875,0.05823010292217926,0.37100591715976333
LMD,DANN-VAE,Extension-B,0.803449273109436,0.34329728980485397,0.3962616365673126,0.9257105943152455
GTZAN,DANN-VAE,Extension-B,0.23782701790332794,0.17084236954288043,0.04900655697786284,0.20877192982456141
