Dataset,Features,Algorithm,Silhouette,Davies-Bouldin,Calinski-H,ARI,NMI
FMA,MLP-VAE,KMeans,0.0831,1.7844,506.0,0.056,0.1283
FMA,MLP-VAE,Agglomerative,0.0121,2.3214,333.2,0.0547,0.1059
FMA,MLP-VAE,DBSCAN,,,,,
FMA,Conv-VAE,KMeans,0.032,2.4557,252.4,0.0604,0.1271
FMA,Conv-VAE,Agglomerative,-0.0021,3.111,162.8,0.0699,0.115
FMA,Conv-VAE,DBSCAN,,,,,
FMA,Hybrid-VAE,KMeans,0.1726,1.2158,1037.3,0.155,0.3373
FMA,Hybrid-VAE,Agglomerative,0.0985,1.4612,770.8,0.1615,0.3551
FMA,Hybrid-VAE,DBSCAN,0.4632,0.5817,566.6,0.0342,0.1363
FMA,PCA,KMeans,0.0392,2.4438,379.1,0.0722,0.1438
FMA,PCA,Agglomerative,0.0092,2.9395,282.5,0.074,0.1213
FMA,PCA,DBSCAN,,,,,
LMD,MLP-VAE,KMeans,0.9371,1.0546,1176.0,0.6035,0.4967
LMD,MLP-VAE,Agglomerative,0.9372,1.1478,1142.5,0.6036,0.4902
LMD,MLP-VAE,DBSCAN,0.4958,0.5612,281.9,-0.0105,0.0027
LMD,Conv-VAE,KMeans,0.9286,2.0199,325.5,0.6037,0.5001
LMD,Conv-VAE,Agglomerative,0.9294,1.9438,331.0,0.6036,0.5031
LMD,Conv-VAE,DBSCAN,,,,,
LMD,Hybrid-VAE,KMeans,0.3121,0.7185,1582.7,0.143,0.4689
LMD,Hybrid-VAE,Agglomerative,0.2853,0.8668,1501.5,0.1873,0.4997
LMD,Hybrid-VAE,DBSCAN,0.1556,0.8089,466.0,0.1608,0.2556
LMD,PCA,KMeans,0.9087,1.8066,599.9,0.6037,0.4984
LMD,PCA,Agglomerative,0.9089,1.7074,608.2,0.6034,0.4991
LMD,PCA,DBSCAN,0.3426,1.0943,85.6,-0.0116,0.0044
GTZAN,MLP-VAE,KMeans,0.5438,0.7493,6922.0,0.8879,0.9288
GTZAN,MLP-VAE,Agglomerative,0.5431,0.7523,6857.1,0.8877,0.9272
GTZAN,MLP-VAE,DBSCAN,0.5699,0.5527,7822.4,0.8082,0.9334
GTZAN,Conv-VAE,KMeans,0.0721,2.2713,63.2,0.1627,0.3508
GTZAN,Conv-VAE,Agglomerative,0.0346,2.7978,51.0,0.1117,0.2932
GTZAN,Conv-VAE,DBSCAN,0.4036,1.0219,268.9,0.031,0.1964
GTZAN,Hybrid-VAE,KMeans,0.6508,0.6538,1567.8,0.8074,0.9256
GTZAN,Hybrid-VAE,Agglomerative,0.6517,0.6851,1551.8,0.8091,0.9283
GTZAN,Hybrid-VAE,DBSCAN,0.6897,0.425,3198.5,0.8278,0.9482
GTZAN,PCA,KMeans,0.0702,2.852,193.3,0.4072,0.6135
GTZAN,PCA,Agglomerative,0.0524,2.9782,182.8,0.38,0.5746
GTZAN,PCA,DBSCAN,0.589,0.5812,367.3,0.0169,0.1302
